bib_key,entry_type,title,authors,year,venue,doi,url
Khan2025Neuro,article,Neuro-Symbolic Reinforcement Learning for Context-Aware Decision Making in Safe Autonomous Vehicles,"Khan, Huma and Chaudhari, Tarunika D. and Ramesh, Janjhyam Venkata Naga and Kranthi, A. Smitha and Muniyandy, Elangovan and Baker El-Ebiary, Yousef A. and Devadhas, David Neels Ponkumar",2025,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2025.0160558,https://doi.org/10.14569/ijacsa.2025.0160558
Mahdi2025INTERPRETABLE,article,INTERPRETABLE DEEP REINFORCEMENT LEARNING FOR AUTONOMOUS SYSTEMS: INTEGRATING CAUSAL INFERENCE WITH POLICY GRADIENTS,"Mahdi, Abdullah Farhan and Abed, Baraa Mohammed",2025,International Journal of Apllied Mathematics,10.12732/ijam.v38i4s.239,https://doi.org/10.12732/ijam.v38i4s.239
Yan2025Research,article,Research on Hierarchical Motion Control of Corner Module Configuration Intelligent Electric Vehicle,Yongjun Yan and Chenshuo Zhang and Pengyu Xue and Hongliang Wang and Dawei Pi and Wenfu Xue and Ye‐Hwa Chen and Xianhui Wang,2025,Chinese Journal of Mechanical Engineering,10.1186/s10033-025-01190-1,https://doi.org/10.1186/s10033-025-01190-1
Li2025Risk,article,Risk-aware local traffic safety evaluation for autonomous new energy vehicles based on virtual force modeling,"Li, Huilan and Wan, Yun and Shang, Junning and Xu, Xiangyang",2025,Frontiers in Mechanical Engineering,10.3389/fmech.2025.1658915,https://doi.org/10.3389/fmech.2025.1658915
Chen2024Autonomous,article,Autonomous vehicles in mixed-autonomy traffic: game theoretic human-like decision making countermeasures,"Chen, Qitong and Zhao, Dong and Liu, Congzhi and Yang, Meng and Shi, Yehui",2024,Complex Engineering Systems,10.20517/ces.2024.69,https://doi.org/10.20517/ces.2024.69
Wu2022Humanlike,article,Humanlike Decision and Motion Planning for Expressway Lane Changing Based on Artificial Potential Field,Ping Wu and Feng Gao and Keqiang Li,2022,IEEE Access,10.1109/access.2022.3141075,https://doi.org/10.1109/access.2022.3141075
Pajarinen2022POMDP,article,POMDP Planning Under Object Composition Uncertainty: Application to Robotic Manipulation,Joni Pajarinen and Jens Lundell and Ville Kyrki,2022,IEEE Transactions on Robotics,10.1109/tro.2022.3188168,https://doi.org/10.1109/tro.2022.3188168
Krapf2024Piecewise,inproceedings,Piecewise linear transformation - propagating aleatoric uncertainty in neural networks,Thomas Krapf and Michael Hagn and Paul Miethaner and Alexander Schiller and Lucas Luttner and Bernd Heinrich,2024,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i18.30029,https://doi.org/10.1609/aaai.v38i18.30029
Strickland2018CollisionRisk,inproceedings,Deep Predictive Models for Collision Risk Assessment in Autonomous Driving,Mark Strickland and Georgios Fainekos and Heni Ben Amor,2018,Proceedings of the IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8461160,https://doi.org/10.1109/ICRA.2018.8461160
Weng2020InstantaneousSafetyMetric,inproceedings,Model Predictive Instantaneous Safety Metric for Evaluation of Automated Driving Systems,Bowen Weng and S. J. Rao and E. Deosthale and S. Schnelle and F. Barickman,2020,Proceedings of the IEEE Intelligent Vehicles Symposium,10.1109/iv47402.2020.9304635,https://doi.org/10.1109/IV47402.2020.9304635
Kamran2020OccludedIntersections,inproceedings,Risk-Aware High-Level Decisions for Automated Driving at Occluded Intersections with Reinforcement Learning,Danial Kamran and Carlos Fernandez Lopez and Martin Lauer and Christoph Stiller,2020,Proceedings of the IEEE Intelligent Vehicles Symposium,10.1109/iv47402.2020.9304606,https://doi.org/10.1109/IV47402.2020.9304606
